loss,accuracy,val_loss,val_accuracy
0.4598836898803711,0.8602713346481323,0.4142443835735321,0.89811110496521
0.3776393234729767,0.9356991052627563,0.39311423897743225,0.9188165664672852
0.35896459221839905,0.9535028338432312,0.3910583555698395,0.9183638691902161
0.3510849177837372,0.9608941674232483,0.4021780490875244,0.9063650965690613
0.3429613709449768,0.9689839482307434,0.3881624937057495,0.9229028820991516
0.3390069305896759,0.9727992415428162,0.3734334707260132,0.9361341595649719
0.33548465371131897,0.9762492775917053,0.3834681808948517,0.9257777333259583
0.33292898535728455,0.9787280559539795,0.3778349459171295,0.9316678643226624
0.3303472101688385,0.9812979698181152,0.3723877966403961,0.9370701313018799
0.3279590308666229,0.9836381673812866,0.3678734600543976,0.9416751265525818
