loss,accuracy,val_loss,val_accuracy
0.6290384531021118,0.6758464574813843,0.6350210905075073,0.6741541624069214
0.6270627379417419,0.68256014585495,0.6352723836898804,0.6741557717323303
0.6249970197677612,0.6841425895690918,0.6340099573135376,0.6737995147705078
0.6113317012786865,0.6933159232139587,0.5945749878883362,0.702314019203186
0.5895898938179016,0.7064226269721985,0.5888864994049072,0.7085020542144775
0.5802372694015503,0.7164241075515747,0.5786547660827637,0.7170193195343018
0.5760297179222107,0.7199608087539673,0.5769827961921692,0.7182580828666687
0.5753251314163208,0.7201178669929504,0.5757814049720764,0.7191668748855591
0.5743090510368347,0.7206106781959534,0.5742348432540894,0.7205148935317993
0.5732022523880005,0.7213392853736877,0.5744801163673401,0.7198757529258728
